CTY_CODE,ISO3,country
3530,PRY,Paraguay
5180,QAT,Qatar
7904,REU,Reunion
4850,ROU,Romania
4801,SRB,Serbia
4621,RUS,Russia
7690,RWA,Rwanda
5170,SAU,Saudi Arabia
6223,SLB,Solomon Islands
7800,SYC,Seychelles
7321,SDN,Sudan
4010,SWE,Sweden
5590,SGP,Singapore
7580,SHN,St. Helena
4792,SVN,Slovenia
4031,SJM,Svalbard and Jan Mayen Islands
4359,SVK,Slovakia
7470,SLE,Sierra Leone
4751,SMR,San Marino
7440,SEN,Senegal
7700,SOM,Somalia
3150,SUR,Suriname
7323,SSD,South Sudan
7644,STP,Sao Tome and Principe
2110,SLV,El Salvador
2774,SXM,Sint Maarten
5020,SYR,Syria
7950,SWZ,Eswatini
2430,TCA,Turks and Caicos Islands
7560,TCD,Chad
7520,TGO,Togo
5490,THA,Thailand
4642,TJK,Tajikistan
6143,TKL,Tokelau
5601,TLS,Timor-Leste
4643,TKM,Turkmenistan
7230,TUN,Tunisia
6864,TON,Tonga
4890,TUR,Türkiye
2740,TTO,Trinidad and Tobago
6227,TUV,Tuvalu
5830,TWN,Taiwan
7830,TZA,Tanzania
4623,UKR,Ukraine
7780,UGA,Uganda
3550,URY,Uruguay
4644,UZB,Uzbekistan
4752,VAT,Vatican
2488,VCT,St. Vincent and the Grenadines
3070,VEN,Venezuela
2482,VGB,British Virgin Islands
5520,VNM,Vietnam
6224,VUT,Vanuatu
6150,WSM,Samoa
,XKX,Kosovo
5210,YEM,Yemen
7881,MYT,Mayotte
7910,ZAF,South Africa
7940,ZMB,Zambia
7960,ZWE,Zimbabwe
