exports,description,hs-code,tariff,export_share,color
20791871.0,FLT-RLD STNLS STL 600MM OM W CLD-RLD 3-UN4.75MM TH,721932,25.0,33.36916464307074,#ff0000
112923313.0,FL-RLD STNLS STL 600MM OM W C-R OV 1MM UN3MM THK,721933,25.0,41.84406707092931,#ff0000
48426892.0,FLT-RLD STNLS STL 600MM OM W CLD-RLD .5-1 MM THCK,721934,25.0,40.34093081588659,#ff0000
10281259.0,FLT-RLD STNLS STL 600MM OM W CLD-RLD UN.5 MM THICK,721935,25.0,26.0784390566595,#ff0000
23998648.0,"FLT-RLD STNLS STL 600MM AO WIDE, NESOI",721990,25.0,61.57934305149455,#ff0000
6561378.0,FR SS UNDR 600MM W HR 4.75MM AO THCK,722011,25.0,29.84841101509867,#ff0000
4784495.0,FLT-RLD STNLS STL UN 600MM WIDE HT-RLD UN4.75MM TH,722012,25.0,24.99021178684719,#ff0000
69964630.0,"FLAT-ROLLED STNLS STL UND 600MM WIDE, CLD-RLD",722020,25.0,15.739444308854319,#ff0000
12900114.0,"FL-RLD STNLS STL UN 600MM WDE, NESOI",722090,25.0,25.707091208551418,#ff0000
3210134.0,"BARS AND RODS, STNLS STL, HT-RLD, IRREG COILS",722100,25.0,20.386290747302915,#ff0000
28487419.0,OTH BARS & RODS STAINLESS STEEL CIRC CROSS-SECTION,722211,25.0,25.622377757480493,#ff0000
10042671.0,OTH BARS & RODS STNLESS STEEL HR NT CIRC CROSS-SEC,722219,25.0,28.673055840742638,#ff0000
51574321.0,"OTH BARS A RODS, STNLS STL, NT FUR TH CLD-FRM/FNSH",722220,25.0,17.65855544924294,#ff0000
17365563.0,"OTHER BARS AND RODS STAINLESS STEEL, NESOI",722230,25.0,12.617472654594506,#ff0000
10939204.0,"ANGLES, SHAPES AND SECTIONS OF STAINLESS STEEL",722240,25.0,35.981663541505256,#ff0000
17405932.0,WIRE OF STAINLESS STEEL,722300,25.0,8.565999058622257,#ff0000
15539598.0,INGOTS AND OTHER PRIMARY FORMS ALLOY STL NT STNLSS,722410,25.0,19.0079794479529,#ff0000
14287737.0,SEMIFINISHED PRODUCTS OF ALLOY STEEL NOT STAINLESS,722490,25.0,22.400555998054465,#ff0000
82285502.0,FLT-RLLD GRAIN-ORNTED SILICON ELCTRCL STL 600MM AO,722511,25.0,73.29112956239285,#ff0000
746216.0,FLT-RLD SILICON ELCTRCL STL 600MM AO NT GRAIN-ORNT,722519,25.0,4.013458080969215,#ff0000
64979183.0,"FLT-RLD OTH ALLOY STL 600MM OM W, HT-RLD, COILS",722530,25.0,27.865128014256353,#ff0000
117223231.0,"FLT-RLD OTH ALLOY STL 600MM OM W, HT-RLD NT COILS",722540,25.0,32.117466123308844,#ff0000
22700226.0,"FLT-RLD OTH ALLOY STL 600MM OM W, CLD-RLD",722550,25.0,9.233846164247035,#ff0000
19034623.0,FLT-RLD ALLOY STL NESOI 600AO ELCTLYC PLT/CTD ZINC,722591,25.0,21.833870127205373,#ff0000
218431770.0,FLT-RLD ALLOY STL NESOI 600AO PLT/CTD ZINC NT ELCT,722592,25.0,35.29919313579421,#ff0000
57229871.0,FLT-RLD ALLOY STEEL NT STAINLESS 600MM AO W NESOI,722599,25.0,17.845291921336443,#ff0000
26904245.0,FLT-RLLD SILICON ELCTRCL STEEL UN 600MM W GRAIN-OR,722611,25.0,61.076807176777315,#ff0000
33497777.0,FLT-RLD SILICON ELCTRCL STL UN 600MM W NT GRAIN-OR,722619,25.0,96.85616131073415,#ff0000
469054.0,FLAT-ROLLED HIGH-SPEED STEEL UNDER 600MM WIDE,722620,25.0,35.08417362347871,#ff0000
