HTSUS,category
84289003,aircraft
85072080,aircraft
85312000,aircraft
90301000,aircraft
40113000,aircraft
84111180,aircraft
84433100,aircraft
85073080,aircraft
85318015,aircraft
90302005,aircraft
40121300,aircraft
84111240,aircraft
84433210,aircraft
85075000,aircraft
85318090,aircraft
90302010,aircraft
40122010,aircraft
84111280,aircraft
84433250,aircraft
85076000,aircraft
85367000,aircraft
90303100,aircraft
40161000,aircraft
84112140,aircraft
84798910,aircraft
85078082,aircraft
85391000,aircraft
90303200,aircraft
40169350,aircraft
84112180,aircraft
84798920,aircraft
85079040,aircraft
85395100,aircraft
90303334,aircraft
40169935,aircraft
84112240,aircraft
84798965,aircraft
85079080,aircraft
85437042,aircraft
90303338,aircraft
40169960,aircraft
84112280,aircraft
84798970,aircraft
85111000,aircraft
85437045,aircraft
90303901,aircraft
40170000,aircraft
84118140,aircraft
84798995,aircraft
85112000,aircraft
85437060,aircraft
90304000,aircraft
45049000,aircraft
84118240,aircraft
84799041,aircraft
85113000,aircraft
85437080,aircraft
90308400,aircraft
48239010,aircraft
84119110,aircraft
84799045,aircraft
85114000,aircraft
85437091,aircraft
90308901,aircraft
48239020,aircraft
84119190,aircraft
84799055,aircraft
85115000,aircraft
85437095,aircraft
90309025,aircraft
48239031,aircraft
84119910,aircraft
84799065,aircraft
85118020,aircraft
85439012,aircraft
90309046,aircraft
48239040,aircraft
84119990,aircraft
84799075,aircraft
85118040,aircraft
85439015,aircraft
90309066,aircraft
48239050,aircraft
84121000,aircraft
84799085,aircraft
85118060,aircraft
85439035,aircraft
90309068,aircraft
48239060,aircraft
84122100,aircraft
84799095,aircraft
85142040,aircraft
85439065,aircraft
90309084,aircraft
48239067,aircraft
84122940,aircraft
84831010,aircraft
85168040,aircraft
85439068,aircraft
90309089,aircraft
48239070,aircraft
84122980,aircraft
84831030,aircraft
85168080,aircraft
85439085,aircraft
90318040,aircraft
48239080,aircraft
84123100,aircraft
84831050,aircraft
85171400,aircraft
85439088,aircraft
90318080,aircraft
48239086,aircraft
84123900,aircraft
84833040,aircraft
85176100,aircraft
85443000,aircraft
90319021,aircraft
68128090,aircraft
84128010,aircraft
84833080,aircraft
85176900,aircraft
88010000,aircraft
90319045,aircraft
68129910,aircraft
84128090,aircraft
84834010,aircraft
85177100,aircraft
88021101,aircraft
90319054,aircraft
68129920,aircraft
84129090,aircraft
84834030,aircraft
85181040,aircraft
88021201,aircraft
90319059,aircraft
68129990,aircraft
84131900,aircraft
84834050,aircraft
85181080,aircraft
88022001,aircraft
90319070,aircraft
68132000,aircraft
84132000,aircraft
84834070,aircraft
85182100,aircraft
88023001,aircraft
90319091,aircraft
68138100,aircraft
84133010,aircraft
84834080,aircraft
85182200,aircraft
88024001,aircraft
90321000,aircraft
68138900,aircraft
84133090,aircraft
84834090,aircraft
85182940,aircraft
88052900,aircraft
90322000,aircraft
70072111,aircraft
84135000,aircraft
84835040,aircraft
85182980,aircraft
88061000,aircraft
90328100,aircraft
73043130,aircraft
84136000,aircraft
84835060,aircraft
85183010,aircraft
88062100,aircraft
90328920,aircraft
73043160,aircraft
84137010,aircraft
84835090,aircraft
85183020,aircraft
88062200,aircraft
90328940,aircraft
73043900,aircraft
84137020,aircraft
84836040,aircraft
85184010,aircraft
88062300,aircraft
90328960,aircraft
73044130,aircraft
84138100,aircraft
84836080,aircraft
85184020,aircraft
88062400,aircraft
90329021,aircraft
73044160,aircraft
84139110,aircraft
84839010,aircraft
85185000,aircraft
88062900,aircraft
90329041,aircraft
73044900,aircraft
84139120,aircraft
84839020,aircraft
85198110,aircraft
88069100,aircraft
90329061,aircraft
73045110,aircraft
84139190,aircraft
84839030,aircraft
85198120,aircraft
88069200,aircraft
90330090,aircraft
73045150,aircraft
84141000,aircraft
84839050,aircraft
85198125,aircraft
88069300,aircraft
91040005,aircraft
73045910,aircraft
84142000,aircraft
84839080,aircraft
85198130,aircraft
88069400,aircraft
91040010,aircraft
73045920,aircraft
84143040,aircraft
84841000,aircraft
85198141,aircraft
88069900,aircraft
91040020,aircraft
73045960,aircraft
84143080,aircraft
84849000,aircraft
85198910,aircraft
88071000,aircraft
91040025,aircraft
73045980,aircraft
84145130,aircraft
85012050,aircraft
85198920,aircraft
88072000,aircraft
91040030,aircraft
73049010,aircraft
84145190,aircraft
85012060,aircraft
85198930,aircraft
88073000,aircraft
91040040,aircraft
73049030,aircraft
84145930,aircraft
85013150,aircraft
85211030,aircraft
88079090,aircraft
91040045,aircraft
73049050,aircraft
84145965,aircraft
85013160,aircraft
85211060,aircraft
90019040,aircraft
91040050,aircraft
73049070,aircraft
84148005,aircraft
85013181,aircraft
85211090,aircraft
90019050,aircraft
91040060,aircraft
73063010,aircraft
84148016,aircraft
85013220,aircraft
85229025,aircraft
90019060,aircraft
91091050,aircraft
73063030,aircraft
84148020,aircraft
85013255,aircraft
85229036,aircraft
90019080,aircraft
91091060,aircraft
73063050,aircraft
84148090,aircraft
85013261,aircraft
85229045,aircraft
90019090,aircraft
91099020,aircraft
73064010,aircraft
84149010,aircraft
85013320,aircraft
85229058,aircraft
90029020,aircraft
94011040,aircraft
73064050,aircraft
84149030,aircraft
85013330,aircraft
85229065,aircraft
90029040,aircraft
94011080,aircraft
73065010,aircraft
84149041,aircraft
85013361,aircraft
85229080,aircraft
90029070,aircraft
94032000,aircraft
73065030,aircraft
84149091,aircraft
85013461,aircraft
85261000,aircraft
90029085,aircraft
94037040,aircraft
73065050,aircraft
84151060,aircraft
85014050,aircraft
85269100,aircraft
90029095,aircraft
94037080,aircraft
73066110,aircraft
84151090,aircraft
85014060,aircraft
85269210,aircraft
90141010,aircraft
94051140,aircraft
73066130,aircraft
84158101,aircraft
85015150,aircraft
85269250,aircraft
90141060,aircraft
94051160,aircraft
73066150,aircraft
84158201,aircraft
85015160,aircraft
85284200,aircraft
90141070,aircraft
94051180,aircraft
73066170,aircraft
84158300,aircraft
85015240,aircraft
85286200,aircraft
90141090,aircraft
94051940,aircraft
73066910,aircraft
84159040,aircraft
85015280,aircraft
85291021,aircraft
90142020,aircraft
94051960,aircraft
73066930,aircraft
84159080,aircraft
85015340,aircraft
85291040,aircraft
90142040,aircraft
94051980,aircraft
73066950,aircraft
84181000,aircraft
85015360,aircraft
85291091,aircraft
90142060,aircraft
94056120,aircraft
73066970,aircraft
84183000,aircraft
85016101,aircraft
85299004,aircraft
90142080,aircraft
94056140,aircraft
73121005,aircraft
84184000,aircraft
85016201,aircraft
85299005,aircraft
90149010,aircraft
94056160,aircraft
73121010,aircraft
84186101,aircraft
85016301,aircraft
85299006,aircraft
90149020,aircraft
94056920,aircraft
73121020,aircraft
84186901,aircraft
85017100,aircraft
85299009,aircraft
90149040,aircraft
94056940,aircraft
73121030,aircraft
84195010,aircraft
85017210,aircraft
85299013,aircraft
90149060,aircraft
94056960,aircraft
73121050,aircraft
84195050,aircraft
85017220,aircraft
85299016,aircraft
90200040,aircraft
94059200,aircraft
73121060,aircraft
84198150,aircraft
85017230,aircraft
85299019,aircraft
90200060,aircraft
94059920,aircraft
73121070,aircraft
84198190,aircraft
85017290,aircraft
85299021,aircraft
90251120,aircraft
94059940,aircraft
73121080,aircraft
84199010,aircraft
85018010,aircraft
85299024,aircraft
90251140,aircraft
96200050,aircraft
73121090,aircraft
84199020,aircraft
85018020,aircraft
85299029,aircraft
90251940,aircraft
96200060,aircraft
73129000,aircraft
84199030,aircraft
85018030,aircraft
85299033,aircraft
90251980,aircraft
98020040,aircraft
73229000,aircraft
84199050,aircraft
85021100,aircraft
85299036,aircraft
90258010,aircraft
98020050,aircraft
73241000,aircraft
84199085,aircraft
85021200,aircraft
85299039,aircraft
90258015,aircraft
98020060,aircraft
73249000,aircraft
84211900,aircraft
85021300,aircraft
85299043,aircraft
90258020,aircraft
98020080,aircraft
73262000,aircraft
84212100,aircraft
85022000,aircraft
85299046,aircraft
90258035,aircraft
98180005,aircraft
74130090,aircraft
84212300,aircraft
85023100,aircraft
85299049,aircraft
90258040,aircraft
98180007,aircraft
28041000,pharma
29071910,pharma
29182250,pharma
29231000,pharma
29332910,pharma
29349930,pharma
28043000,pharma
29071920,pharma
29182310,pharma
29232010,pharma
29332920,pharma
29349939,pharma
28061000,pharma
29071940,pharma
29182330,pharma
29232020,pharma
29332935,pharma
29349944,pharma
28070000,pharma
29071980,pharma
29182350,pharma
29233000,pharma
29332943,pharma
29349947,pharma
28092000,pharma
29072990,pharma
29182920,pharma
29234000,pharma
29332945,pharma
29349970,pharma
28111200,pharma
29081910,pharma
29182922,pharma
29239001,pharma
29332960,pharma
29349990,pharma
28112250,pharma
29081935,pharma
29182965,pharma
29241100,pharma
29332990,pharma
29355000,pharma
28121200,pharma
29081960,pharma
29182975,pharma
29241200,pharma
29333100,pharma
29359006,pharma
28141000,pharma
29089912,pharma
29183010,pharma
29241911,pharma
29333301,pharma
29359010,pharma
28142000,pharma
29089915,pharma
29183015,pharma
29241980,pharma
29333400,pharma
29359013,pharma
28151100,pharma
29089925,pharma
29183025,pharma
29242116,pharma
29333500,pharma
29359015,pharma
28151200,pharma
29091100,pharma
29183030,pharma
29242120,pharma
29333600,pharma
29359020,pharma
28153000,pharma
29091918,pharma
29183070,pharma
29242145,pharma
29333700,pharma
29359029,pharma
28251000,pharma
29091960,pharma
29183090,pharma
29242150,pharma
29333908,pharma
29359030,pharma
28273965,pharma
29092000,pharma
29189905,pharma
29242370,pharma
29333910,pharma
29359032,pharma
28276020,pharma
29093040,pharma
29189930,pharma
29242375,pharma
29333920,pharma
29359033,pharma
28321000,pharma
29093060,pharma
29189943,pharma
29242400,pharma
29333921,pharma
29359042,pharma
28323010,pharma
29094905,pharma
29189947,pharma
29242500,pharma
29333923,pharma
29359048,pharma
28331150,pharma
29094910,pharma
29189950,pharma
29242901,pharma
29333925,pharma
29359060,pharma
28331900,pharma
29094915,pharma
29191000,pharma
29242903,pharma
29333927,pharma
29359075,pharma
28332200,pharma
29094920,pharma
29199030,pharma
29242905,pharma
29333931,pharma
29359095,pharma
28341010,pharma
29094960,pharma
29199050,pharma
29242910,pharma
29333941,pharma
29381000,pharma
28352200,pharma
29095020,pharma
29201940,pharma
29242923,pharma
29333961,pharma
29389000,pharma
28352400,pharma
29095040,pharma
29201950,pharma
29242926,pharma
29333992,pharma
29394300,pharma
28362000,pharma
29095045,pharma
29202100,pharma
29242928,pharma
29334100,pharma
29395100,pharma
28363000,pharma
29095050,pharma
29202200,pharma
29242933,pharma
29334908,pharma
29396100,pharma
28364020,pharma
29101000,pharma
29202300,pharma
29242957,pharma
29334910,pharma
29398000,pharma
28372051,pharma
29103000,pharma
29202400,pharma
29242962,pharma
29334915,pharma
29400060,pharma
28419040,pharma
29104000,pharma
29202900,pharma
29242965,pharma
29334917,pharma
29420003,pharma
28421000,pharma
29105000,pharma
29203000,pharma
29242971,pharma
29334920,pharma
29420005,pharma
28429090,pharma
29109010,pharma
29209020,pharma
29242977,pharma
29334926,pharma
29420010,pharma
28432901,pharma
29109020,pharma
29209051,pharma
29242980,pharma
29334930,pharma
29420035,pharma
28433000,pharma
29109091,pharma
29211100,pharma
29242995,pharma
29334960,pharma
29420050,pharma
28439000,pharma
29110010,pharma
29211400,pharma
29251200,pharma
29334970,pharma
30033100,pharma
28444100,pharma
29110050,pharma
29211911,pharma
29251942,pharma
29335210,pharma
30034300,pharma
28444200,pharma
29121950,pharma
29211961,pharma
29251991,pharma
29335290,pharma
30036000,pharma
28444300,pharma
29122960,pharma
29212900,pharma
29252100,pharma
29335300,pharma
30044300,pharma
28444400,pharma
29124926,pharma
29213010,pharma
29252910,pharma
29335400,pharma
30067000,pharma
28452000,pharma
29126000,pharma
29213030,pharma
29252918,pharma
29335500,pharma
30069200,pharma
28453000,pharma
29141110,pharma
29213050,pharma
29252920,pharma
29335910,pharma
30069380,pharma
28459001,pharma
29141900,pharma
29214110,pharma
29252960,pharma
29335915,pharma
32030080,pharma
28470000,pharma
29142930,pharma
29214120,pharma
29252970,pharma
29335918,pharma
32041360,pharma
28500050,pharma
29142950,pharma
29214265,pharma
29252990,pharma
29335921,pharma
32041380,pharma
28531000,pharma
29143990,pharma
29214290,pharma
29263010,pharma
29335922,pharma
32041800,pharma
28539050,pharma
29144040,pharma
29214340,pharma
29264000,pharma
29335936,pharma
32049000,pharma
29011040,pharma
29144090,pharma
29214560,pharma
29269014,pharma
29335946,pharma
34013010,pharma
29021900,pharma
29145010,pharma
29214590,pharma
29269043,pharma
29335953,pharma
34024210,pharma
29029030,pharma
29145030,pharma
29214600,pharma
29269048,pharma
29335959,pharma
34024220,pharma
29031200,pharma
29145050,pharma
29214938,pharma
29269050,pharma
29335970,pharma
34024290,pharma
29031300,pharma
29146200,pharma
29214943,pharma
29270040,pharma
29335980,pharma
34025011,pharma
29032200,pharma
29146921,pharma
29214945,pharma
29270050,pharma
29335985,pharma
35079070,pharma
29034110,pharma
29146990,pharma
29214950,pharma
29280010,pharma
29335995,pharma
38021000,pharma
29034210,pharma
29147100,pharma
29215940,pharma
29280015,pharma
29336950,pharma
38085940,pharma
29034310,pharma
29147910,pharma
29215980,pharma
29280025,pharma
29336960,pharma
38085950,pharma
29034410,pharma
29147940,pharma
29221100,pharma
29280030,pharma
29337200,pharma
38086150,pharma
29034510,pharma
29147960,pharma
29221200,pharma
29280050,pharma
29337904,pharma
38089410,pharma
29034610,pharma
29147990,pharma
29221400,pharma
29299005,pharma
29337908,pharma
38089450,pharma
29034710,pharma
29152100,pharma
29221500,pharma
29299015,pharma
29337915,pharma
38123100,pharma
29034800,pharma
29152400,pharma
29221600,pharma
29299020,pharma
29337920,pharma
38151100,pharma
29034900,pharma
29152950,pharma
29221700,pharma
29299050,pharma
